"","x","y","sp","ref"
"1",-50.261588,-29.89222,"Anoura caudifer","Noronha"
"2",-50.52658,-29.826862,"Anoura caudifer","Noronha"
"3",-50.203292,-29.67925,"Anoura caudifer","Portal_Da_Biodiversidade"
"4",-50.214467,-29.650516,"Anoura caudifer","Noronha"
"5",-49.863794,-29.367134,"Anoura caudifer","Noronha"
"6",-49.832478,-29.301122,"Anoura caudifer","Noronha"
"7",-49.937757,-29.210591,"Anoura caudifer","Noronha"
"8",-50.046389,-29.202222,"Anoura caudifer","Goncalves_etal_2018"
"9",-49.7,-29.1361,"Anoura caudifer","Bolla_etal_2017"
"10",-49.720348,-29.135455,"Anoura caudifer","Cherem_etal_2004"
"11",-49.8472,-28.8303,"Anoura caudifer","Bolla_etal_2017"
"12",-49.757778,-28.828333,"Anoura caudifer","Goncalves_etal_2018"
"13",-49.928611,-28.788333,"Anoura caudifer","unpublished records made by Fernando Carvalho"
"14",-49.411389,-28.713889,"Anoura caudifer","Goncalves_etal_2018"
"15",-49.432222,-28.69,"Anoura caudifer","unpublished records made by Fernando Carvalho"
"16",-49.5,-28.65,"Anoura caudifer","Bolla_etal_2017"
"17",-49.49884,-28.63749,"Anoura caudifer","Cherem_etal_2004"
"18",-49.550837,-28.616857,"Anoura caudifer","FURB_4569"
"19",-49.5167,-28.6167,"Anoura caudifer","FURB_873"
"20",-49.55376,-28.607792,"Anoura caudifer","FURB_2504"
"21",-49.425789,-28.599817,"Anoura caudifer","Cherem_etal_2004"
"22",-49.395,-28.594167,"Anoura caudifer","Goncalves_etal_2018"
"23",-49.4333,-28.5833,"Anoura caudifer","Bolla_etal_2017"
"24",-49.305,-28.533333,"Anoura caudifer","Goncalves_etal_2018"
"25",-49.266667,-28.533333,"Anoura caudifer","unpublished records made by Fernando Carvalho"
"26",-49.3167,-28.5167,"Anoura caudifer","Bolla_etal_2017"
"27",-49.4575,-28.5156,"Anoura caudifer","Bolla_etal_2017"
"28",-49.525556,-28.489444,"Anoura caudifer","unpublished records made by Fernando Carvalho"
"29",-49.255,-28.483889,"Anoura caudifer","unpublished records made by Fernando Carvalho"
"30",-49.25528,-28.48361,"Anoura caudifer","Muylaert_etal_2017"
"31",-49.185,-28.4358,"Anoura caudifer","Bolla_etal_2017"
"32",-49.1287395,-27.9041185,"Anoura caudifer","FURB_369"
"33",-48.805942,-27.734342,"Anoura caudifer","Portal_Da_Biodiversidade"
"34",-48.808186,-27.730043,"Anoura caudifer","FURB_5106"
"35",-48.50532532,-27.61540601,"Anoura caudifer","FURB_325"
"36",-48.537919,-27.595594,"Anoura caudifer","Cherem_etal_2004"
"37",-48.66960526,-27.49944032,"Anoura caudifer","FURB_3484"
"38",-48.9795,-27.437029,"Anoura caudifer","FURB_2494"
"45",-49.5306,-27.1353,"Anoura caudifer","FURB_2054"
"46",-49.520352,-27.133467,"Anoura caudifer","FURB_3787"
"47",-49.202493,-27.11066,"Anoura caudifer","Portal_Da_Biodiversidade"
"48",-49.185358,-27.109626,"Anoura caudifer","Muylaert_etal_2017"
"49",-49.199722,-27.064167,"Anoura caudifer","Portal_Da_Biodiversidade"
"50",-49.08,-27.06,"Anoura caudifer","Muylaert_etal_2017"
"51",-49.112233,-27.060308,"Anoura caudifer","Althoff_2007"
"52",-49.5175,-27.056667,"Anoura caudifer","Portal_Da_Biodiversidade"
"53",-49.09315,-27.052057,"Anoura caudifer","FURB_1610"
"54",-49.149167,-27.05,"Anoura caudifer","Althoff_2007"
"55",-49.2318821,-26.93140602,"Anoura caudifer","FURB_1530"
"56",-48.9566824,-26.9307306,"Anoura caudifer","FURB_6309"
"57",-48.956259,-26.929173,"Anoura caudifer","Cherem_etal_2004"
"58",-49.07266,-26.921735,"Anoura caudifer","Gruener_etal_2012"
"59",-49.104868,-26.88503,"Anoura caudifer","Cherem_etal_2004"
"60",-48.93949986,-26.88020099,"Anoura caudifer","FURB_6150"
